Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52       |
|    ep_rew_mean     | -915     |
| time/              |          |
|    fps             | 363      |
|    iterations      | 1        |
|    time_elapsed    | 11       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | -918        |
| time/                   |             |
|    fps                  | 342         |
|    iterations           | 2           |
|    time_elapsed         | 23          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011655796 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.000325    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.76e+04    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0382     |
|    std                  | 0.999       |
|    value_loss           | 6.91e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.1        |
|    ep_rew_mean          | -899        |
| time/                   |             |
|    fps                  | 336         |
|    iterations           | 3           |
|    time_elapsed         | 36          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.010051251 |
|    clip_fraction        | 0.0835      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.0109      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.92e+04    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0294     |
|    std                  | 0.998       |
|    value_loss           | 6.83e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.4       |
|    ep_rew_mean          | -836       |
| time/                   |            |
|    fps                  | 334        |
|    iterations           | 4          |
|    time_elapsed         | 48         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.00932588 |
|    clip_fraction        | 0.0718     |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.2      |
|    explained_variance   | 0.0186     |
|    learning_rate        | 0.0003     |
|    loss                 | 3.6e+04    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0268    |
|    std                  | 0.998      |
|    value_loss           | 6.7e+04    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.8        |
|    ep_rew_mean          | -848        |
| time/                   |             |
|    fps                  | 332         |
|    iterations           | 5           |
|    time_elapsed         | 61          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.010140425 |
|    clip_fraction        | 0.0859      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.0135      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.27e+04    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0295     |
|    std                  | 0.997       |
|    value_loss           | 4.51e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | -916        |
| time/                   |             |
|    fps                  | 327         |
|    iterations           | 6           |
|    time_elapsed         | 74          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.010417538 |
|    clip_fraction        | 0.0835      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.00292     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.36e+04    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0294     |
|    std                  | 0.998       |
|    value_loss           | 5.27e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.4        |
|    ep_rew_mean          | -808        |
| time/                   |             |
|    fps                  | 328         |
|    iterations           | 7           |
|    time_elapsed         | 87          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.010700036 |
|    clip_fraction        | 0.0925      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.3       |
|    explained_variance   | 0.00103     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.78e+04    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0302     |
|    std                  | 0.998       |
|    value_loss           | 5.53e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.2        |
|    ep_rew_mean          | -824        |
| time/                   |             |
|    fps                  | 327         |
|    iterations           | 8           |
|    time_elapsed         | 100         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.011549237 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00289     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.11e+04    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0355     |
|    std                  | 0.997       |
|    value_loss           | 5.2e+04     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.5        |
|    ep_rew_mean          | -809        |
| time/                   |             |
|    fps                  | 327         |
|    iterations           | 9           |
|    time_elapsed         | 112         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.010960955 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00204     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.73e+04    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0336     |
|    std                  | 0.995       |
|    value_loss           | 5.44e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.9         |
|    ep_rew_mean          | -991         |
| time/                   |              |
|    fps                  | 327          |
|    iterations           | 10           |
|    time_elapsed         | 125          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0104658045 |
|    clip_fraction        | 0.099        |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.00187      |
|    learning_rate        | 0.0003       |
|    loss                 | 2.45e+04     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0329      |
|    std                  | 0.995        |
|    value_loss           | 4.82e+04     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | -888        |
| time/                   |             |
|    fps                  | 327         |
|    iterations           | 11          |
|    time_elapsed         | 137         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.010047077 |
|    clip_fraction        | 0.0893      |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.0012      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.48e+04    |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.032      |
|    std                  | 0.997       |
|    value_loss           | 7.29e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 52.9       |
|    ep_rew_mean          | -852       |
| time/                   |            |
|    fps                  | 325        |
|    iterations           | 12         |
|    time_elapsed         | 151        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.01346532 |
|    clip_fraction        | 0.132      |
|    clip_range           | 0.2        |
|    entropy_loss         | -21.2      |
|    explained_variance   | 0.00217    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.51e+04   |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.0371    |
|    std                  | 0.997      |
|    value_loss           | 4.83e+04   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.3         |
|    ep_rew_mean          | -809         |
| time/                   |              |
|    fps                  | 324          |
|    iterations           | 13           |
|    time_elapsed         | 164          |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0115493145 |
|    clip_fraction        | 0.114        |
|    clip_range           | 0.2          |
|    entropy_loss         | -21.2        |
|    explained_variance   | 0.00158      |
|    learning_rate        | 0.0003       |
|    loss                 | 2.66e+04     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.0363      |
|    std                  | 0.998        |
|    value_loss           | 5.1e+04      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.9        |
|    ep_rew_mean          | -722        |
| time/                   |             |
|    fps                  | 321         |
|    iterations           | 14          |
|    time_elapsed         | 178         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.012437782 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.0012      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.48e+04    |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.041      |
|    std                  | 0.995       |
|    value_loss           | 4.49e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | -912        |
| time/                   |             |
|    fps                  | 320         |
|    iterations           | 15          |
|    time_elapsed         | 191         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.013434308 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00158     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.24e+04    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0404     |
|    std                  | 0.995       |
|    value_loss           | 3.94e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.6        |
|    ep_rew_mean          | -997        |
| time/                   |             |
|    fps                  | 318         |
|    iterations           | 16          |
|    time_elapsed         | 205         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.012568215 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -21.2       |
|    explained_variance   | 0.00102     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.61e+04    |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0396     |
|    std                  | 0.995       |
